Commodity,Unit,Current Price,6-Month Forecast,12-Month Forecast,MAE,MAPE,R²
Maize,₦/100kg,"₦492,243","₦368,947","₦344,570","₦86,777",19.2%,-9.880
Rice,₦/50kg,"₦781,695","₦672,066","₦547,187","₦131,885",18.2%,-8.689
Cassava,₦/100kg,"₦221,056","₦185,455","₦176,972","₦39,319",18.6%,-8.057
Tomatoes,₦/basket,"₦144,926","₦120,340","₦116,667","₦23,787",16.8%,-8.424
Cocoa,₦/tonne,"₦6,231,116","₦5,038,345","₦4,361,781","₦758,095",12.9%,-9.967
Coffee,₦/tonne,"₦3,677,283","₦2,971,621","₦2,574,098","₦701,507",20.9%,-14.625
